Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
27/11/2015,27,November,2015,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,9,3,9,35,27,62
18/01/2014,18,January,2014,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,23,3,9,88,69,157
18/01/2014,18,January,2014,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,108,84,192
18/01/2016,18,January,2016,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,24,3,9,92,72,164
18/01/2016,18,January,2016,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,25,3,9,96,75,171
21/05/2014,21,May,2014,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,15,12,27
21/05/2014,21,May,2014,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9,38,30,68
21/05/2016,21,May,2016,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,15,12,27
21/05/2016,21,May,2016,40,Adults (35-64),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,11,3,9,42,33,75
31/12/9999,27,September,2013,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,59,52,111
31/12/9999,27,September,2013,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,9,8,17
31/12/9999,27,September,2015,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,28,2,5,63,56,119
31/12/9999,27,September,2015,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,5,4,9
31/12/9999,13,January,2014,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,34,30,64
31/12/9999,13,January,2014,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,36,32,68
31/12/9999,13,January,2016,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,29,26,55
31/12/9999,13,January,2016,35,Adults (35-64),M,France,Pas de Calais,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,32,28,60
18/08/2013,18,August,2013,37,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,60,50,110
18/08/2015,18,August,2015,37,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,65,54,119
04/07/2014,4,July,2014,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,32,30,62
04/07/2014,4,July,2014,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
04/07/2016,4,July,2016,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,25,24,49
04/07/2016,4,July,2016,37,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,23,22,45
22/07/2013,22,July,2013,28,Young Adults (25-35),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,70,36,106
22/07/2013,22,July,2013,28,Young Adults (25-35),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,30,3,9,175,90,265
22/07/2015,22,July,2015,28,Young Adults (25-35),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9,58,30,88
22/07/2015,22,July,2015,28,Young Adults (25-35),F,France,Charente-Maritime,Accessories,Bottles and Cages,Road Bottle Cage,27,3,9,157,81,238
16/08/2013,16,August,2013,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,114,78,192
16/08/2015,16,August,2015,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,28,3,9,123,84,207
01/06/2014,1,June,2014,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,17,3,9,74,51,125
01/06/2014,1,June,2014,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,13,3,9,57,39,96
01/06/2016,1,June,2016,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,16,3,9,70,48,118
01/06/2016,1,June,2016,46,Adults (35-64),F,France,Seine et Marne,Accessories,Bottles and Cages,Road Bottle Cage,12,3,9,53,36,89
25/11/2013,25,November,2013,24,Youth (<25),M,France,Loir et Cher,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,7,6,13
25/11/2013,25,November,2013,24,Youth (<25),M,France,Loir et Cher,Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,66,54,120
25/11/2015,25,November,2015,24,Youth (<25),M,France,Loir et Cher,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,10,8,18
25/11/2015,25,November,2015,24,Youth (<25),M,France,Loir et Cher,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,64,52,116
01/10/2013,1,October,2013,30,Young Adults (25-35),F,France,Val d'Oise,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,29,30,59
01/10/2013,1,October,2013,30,Young Adults (25-35),F,France,Val d'Oise,Accessories,Bottles and Cages,Water Bottle - 30 oz.,25,2,5,49,50,99
01/10/2015,1,October,2015,30,Young Adults (25-35),F,France,Val d'Oise,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,25,26,51
01/10/2015,1,October,2015,30,Young Adults (25-35),F,France,Val d'Oise,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,51,52,103
21/12/2013,21,December,2013,20,Youth (<25),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,24,2,5,59,48,107
21/12/2015,21,December,2015,20,Youth (<25),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,64,52,116
09/12/2013,9,December,2013,20,Youth (<25),M,France,Yveline,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,34,38,72
09/12/2013,9,December,2013,20,Youth (<25),M,France,Yveline,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,34,38,72
09/12/2015,9,December,2015,20,Youth (<25),M,France,Yveline,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,34,38,72
09/12/2015,9,December,2015,20,Youth (<25),M,France,Yveline,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,38,42,80
21/01/2014,21,January,2014,36,Adults (35-64),F,France,Garonne (Haute),Accessories,Bottles and Cages,Mountain Bottle Cage,8,4,10,43,32,75
21/01/2016,21,January,2016,36,Adults (35-64),F,France,Garonne (Haute),Accessories,Bottles and Cages,Mountain Bottle Cage,5,4,10,27,20,47
14/02/2014,14,February,2014,27,Young Adults (25-35),F,France,Charente-Maritime,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,9,6,15
14/02/2014,14,February,2014,27,Young Adults (25-35),F,France,Charente-Maritime,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,49,34,83
14/02/2016,14,February,2016,27,Young Adults (25-35),F,France,Charente-Maritime,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,15,10,25
14/02/2016,14,February,2016,27,Young Adults (25-35),F,France,Charente-Maritime,Accessories,Bottles and Cages,Water Bottle - 30 oz.,17,2,5,49,34,83
02/09/2013,2,September,2013,53,Adults (35-64),M,Germany,Brandenburg,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,154,78,232
02/09/2013,2,September,2013,53,Adults (35-64),M,Germany,Brandenburg,Accessories,Bottles and Cages,Road Bottle Cage,24,3,9,142,72,214
02/09/2015,2,September,2015,53,Adults (35-64),M,Germany,Brandenburg,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,154,78,232
02/09/2015,2,September,2015,53,Adults (35-64),M,Germany,Brandenburg,Accessories,Bottles and Cages,Road Bottle Cage,23,3,9,136,69,205
10/09/2013,10,September,2013,51,Adults (35-64),F,France,Garonne (Haute),Accessories,Bottles and Cages,Mountain Bottle Cage,16,4,10,86,64,150
10/09/2015,10,September,2015,51,Adults (35-64),F,France,Garonne (Haute),Accessories,Bottles and Cages,Mountain Bottle Cage,14,4,10,76,56,132
27/10/2013,27,October,2013,43,Adults (35-64),M,France,Val d'Oise,Accessories,Bottles and Cages,Road Bottle Cage,26,3,9,107,78,185
27/10/2013,27,October,2013,43,Adults (35-64),M,France,Val d'Oise,Accessories,Bottles and Cages,Road Bottle Cage,18,3,9,74,54,128
27/10/2015,27,October,2015,43,Adults (35-64),M,France,Val d'Oise,Accessories,Bottles and Cages,Road Bottle Cage,25,3,9,103,75,178
27/10/2015,27,October,2015,43,Adults (35-64),M,France,Val d'Oise,Accessories,Bottles and Cages,Road Bottle Cage,16,3,9,66,48,114
02/11/2013,2,November,2013,43,Adults (35-64),M,France,Val d'Oise,Accessories,Bottles and Cages,Road Bottle Cage,23,3,9,95,69,164
02/11/2013,2,November,2013,43,Adults (35-64),M,France,Val d'Oise,Accessories,Bottles and Cages,Road Bottle Cage,4,3,9,16,12,28
02/11/2015,2,November,2015,43,Adults (35-64),M,France,Val d'Oise,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,82,60,142
02/11/2015,2,November,2015,43,Adults (35-64),M,France,Val d'Oise,Accessories,Bottles and Cages,Road Bottle Cage,5,3,9,21,15,36
06/10/2013,6,October,2013,43,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,46,38,84
06/10/2013,6,October,2013,43,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,10,8,18
06/10/2015,6,October,2015,43,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,46,38,84
06/10/2015,6,October,2015,43,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,10,8,18
13/11/2013,13,November,2013,43,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4
13/11/2015,13,November,2015,43,Adults (35-64),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,5,4,9
18/02/2014,18,February,2014,23,Youth (<25),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,7,3,9,27,21,48
18/02/2014,18,February,2014,23,Youth (<25),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,27,3,9,104,81,185
18/02/2016,18,February,2016,23,Youth (<25),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,9,3,9,35,27,62
18/02/2016,18,February,2016,23,Youth (<25),M,France,Yveline,Accessories,Bottles and Cages,Road Bottle Cage,27,3,9,104,81,185
24/04/2014,24,April,2014,33,Young Adults (25-35),F,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,3,4,10,11,12,23
24/04/2014,24,April,2014,33,Young Adults (25-35),F,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,22,4,10,79,88,167
24/04/2016,24,April,2016,33,Young Adults (25-35),F,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,1,4,10,4,4,8
24/04/2016,24,April,2016,33,Young Adults (25-35),F,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,21,4,10,76,84,160
11/03/2014,11,March,2014,39,Adults (35-64),M,Germany,Brandenburg,Accessories,Bottles and Cages,Road Bottle Cage,10,3,9,59,30,89
11/03/2014,11,March,2014,39,Adults (35-64),M,Germany,Brandenburg,Accessories,Bottles and Cages,Road Bottle Cage,23,3,9,136,69,205
11/03/2016,11,March,2016,39,Adults (35-64),M,Germany,Brandenburg,Accessories,Bottles and Cages,Road Bottle Cage,9,3,9,53,27,80
11/03/2016,11,March,2016,39,Adults (35-64),M,Germany,Brandenburg,Accessories,Bottles and Cages,Road Bottle Cage,21,3,9,124,63,187
15/09/2013,15,September,2013,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10,40,44,84
15/09/2013,15,September,2013,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,11,4,10,40,44,84
15/09/2015,15,September,2015,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,13,4,10,47,52,99
15/09/2015,15,September,2015,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,9,4,10,32,36,68
23/04/2014,23,April,2014,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,5,4,10,18,20,38
23/04/2016,23,April,2016,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,2,4,10,7,8,15
25/06/2014,25,June,2014,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,16,4,10,58,64,122
25/06/2014,25,June,2014,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,30,4,10,108,120,228
25/06/2016,25,June,2016,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,13,4,10,47,52,99
25/06/2016,25,June,2016,27,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,31,4,10,112,124,236
22/04/2014,22,April,2014,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,15,14,29
22/04/2014,22,April,2014,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,32,30,62
22/04/2016,22,April,2016,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,8,8,16
22/04/2016,22,April,2016,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,29,28,57
17/05/2014,17,May,2014,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,46,44,90
17/05/2014,17,May,2014,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,22,2,5,46,44,90
17/05/2016,17,May,2016,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,44,42,86
17/05/2016,17,May,2016,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,23,2,5,48,46,94
21/05/2014,21,May,2014,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
21/05/2014,21,May,2014,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,6,6,12
21/05/2016,21,May,2016,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,19,18,37
21/05/2016,21,May,2016,28,Young Adults (25-35),F,France,Seine et Marne,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,4,4,8
07/03/2014,7,March,2014,45,Adults (35-64),F,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,11,8,19
07/03/2014,7,March,2014,45,Adults (35-64),F,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,16,12,28
07/03/2016,7,March,2016,45,Adults (35-64),F,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,5,4,9
07/03/2016,7,March,2016,45,Adults (35-64),F,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,11,8,19
08/01/2014,8,January,2014,29,Young Adults (25-35),M,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,78,58,136
08/01/2014,8,January,2014,29,Young Adults (25-35),M,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,12,2,5,32,24,56
08/01/2016,8,January,2016,29,Young Adults (25-35),M,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,27,2,5,73,54,127
08/01/2016,8,January,2016,29,Young Adults (25-35),M,France,Garonne (Haute),Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,30,22,52
02/06/2014,2,June,2014,50,Adults (35-64),F,France,Loiret,Accessories,Bottles and Cages,Mountain Bottle Cage,14,4,10,69,56,125
02/06/2016,2,June,2016,50,Adults (35-64),F,France,Loiret,Accessories,Bottles and Cages,Mountain Bottle Cage,16,4,10,78,64,142
02/10/2013,2,October,2013,50,Adults (35-64),F,France,Val de Marne,Accessories,Bottles and Cages,Mountain Bottle Cage,3,4,10,12,12,24
02/10/2013,2,October,2013,50,Adults (35-64),F,France,Val de Marne,Accessories,Bottles and Cages,Mountain Bottle Cage,26,4,10,101,104,205
02/10/2015,2,October,2015,50,Adults (35-64),F,France,Val de Marne,Accessories,Bottles and Cages,Mountain Bottle Cage,2,4,10,8,8,16
02/10/2015,2,October,2015,50,Adults (35-64),F,France,Val de Marne,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10,105,108,213
09/05/2014,9,May,2014,23,Youth (<25),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,14,2,5,34,28,62
09/05/2016,9,May,2016,23,Youth (<25),F,France,Moselle,Accessories,Bottles and Cages,Water Bottle - 30 oz.,11,2,5,26,22,48
31/08/2013,31,August,2013,17,Youth (<25),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,4,2,5,10,8,18
31/08/2013,31,August,2013,17,Youth (<25),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,47,38,85
31/08/2015,31,August,2015,17,Youth (<25),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,15,12,27
31/08/2015,31,August,2015,17,Youth (<25),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,49,40,89
23/02/2014,23,February,2014,25,Young Adults (25-35),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,71,58,129
23/02/2014,23,February,2014,25,Young Adults (25-35),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,23,2,5,56,46,102
23/02/2016,23,February,2016,25,Young Adults (25-35),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,71,58,129
23/02/2016,23,February,2016,25,Young Adults (25-35),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,51,42,93
25/03/2014,25,March,2014,25,Young Adults (25-35),F,France,Val d'Oise,Accessories,Bottles and Cages,Mountain Bottle Cage,14,4,10,55,56,111
25/03/2014,25,March,2014,25,Young Adults (25-35),F,France,Val d'Oise,Accessories,Bottles and Cages,Mountain Bottle Cage,6,4,10,23,24,47
25/03/2016,25,March,2016,25,Young Adults (25-35),F,France,Val d'Oise,Accessories,Bottles and Cages,Mountain Bottle Cage,14,4,10,55,56,111
25/03/2016,25,March,2016,25,Young Adults (25-35),F,France,Val d'Oise,Accessories,Bottles and Cages,Mountain Bottle Cage,6,4,10,23,24,47
01/05/2014,1,May,2014,31,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,16,18,34
01/05/2014,1,May,2014,31,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,5,6,11
01/05/2016,1,May,2016,31,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,11,12,23
01/05/2016,1,May,2016,31,Young Adults (25-35),M,France,Yveline,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,2,2,4
01/05/2014,1,May,2014,31,Young Adults (25-35),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,71,58,129
01/05/2016,1,May,2016,31,Young Adults (25-35),M,France,Loiret,Accessories,Bottles and Cages,Water Bottle - 30 oz.,26,2,5,64,52,116
13/02/2014,13,February,2014,51,Adults (35-64),F,United States,Texas,Accessories,Bottles and Cages,Water Bottle - 30 oz.,8,2,5,16,16,32
13/02/2014,13,February,2014,51,Adults (35-64),F,United States,Texas,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,43,42,85
13/02/2016,13,February,2016,51,Adults (35-64),F,United States,Texas,Accessories,Bottles and Cages,Water Bottle - 30 oz.,6,2,5,12,12,24
13/02/2016,13,February,2016,51,Adults (35-64),F,United States,Texas,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,37,36,73
20/06/2014,20,June,2014,41,Adults (35-64),F,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,24,4,10,86,96,182
20/06/2014,20,June,2014,41,Adults (35-64),F,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,28,4,10,101,112,213
20/06/2016,20,June,2016,41,Adults (35-64),F,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,22,4,10,79,88,167
20/06/2016,20,June,2016,41,Adults (35-64),F,France,Yveline,Accessories,Bottles and Cages,Mountain Bottle Cage,28,4,10,101,112,213
04/07/2013,4,July,2013,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,21,3,9,105,63,168
04/07/2013,4,July,2013,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,3,3,9,15,9,24
04/07/2015,4,July,2015,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,100,60,160
04/07/2015,4,July,2015,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,5,3,9,25,15,40
13/09/2013,13,September,2013,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,21,3,9,105,63,168
13/09/2013,13,September,2013,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,2,3,9,10,6,16
13/09/2015,13,September,2015,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,20,3,9,100,60,160
13/09/2015,13,September,2015,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,1,3,9,5,3,8
04/10/2013,4,October,2013,28,Young Adults (25-35),F,France,Loiret,Accessories,Bottles and Cages,Road Bottle Cage,13,3,9,65,39,104
